group,mnemonic,name,type
instruction,mov,move,register
instruction,and,and,register
instruction,or,or,register
instruction,xor,xor,register
instruction,add,addition,register
instruction,adds,add to self,register
instruction,sub,subtraction,register
instruction,sin,convert to sin,register
instruction,shift,shift left,register
instruction,eq,set on equal,register
instruction,slt,set less than,register
instruction,li,load immediate,immediate
instruction,delay,delay,immediate
instruction,bos,branch on set,jump
instruction,bns,branch on not set,jump
instruction,j,jump,jump
register,zero,zero,read-only
register,one,one,read-only
register,rand,random number,read-only
register,result,result from arithmetic,cpu
register,imm,immediate,cpu
register,red,red PWM,hardware
register,green,green PWM,hardware
register,blue,blue PWM,hardware
register,portOut,port out (LEDs),hardware
register,portIn,port in,hardware
register,index,index,general
register,speed,speed,general
register,phase,phase,general
register,mode,mode,general
register,genA,general A,general
register,genB,general B,general
